Distrito;Sitio;IDEM;X crtm;Y crtm;Nombre común;Especie;Clasificación;DAP;H;Estado Fitosanitario;Inclinación del fuste;Cercanía al tendido eléctrico (m);Afectación de Aceras;Prodecencia;Riesgo General
San Antonio;Parques;4830;479555.8551;1103424.866;Palma navideña;Adonidia merrilli;Palma;14.8;3;A;A;NA;A;Exótico;ALTO
San Antonio;Parques;4842;480100.8481;1103668.553;Robel de Sabana;Tabebuia rosea;Árbol;10.9;5;A;A;NA;A;Nativo;ALTO
San Antonio;Parques;4886;479912.9951;1103883.103;Caoba;Swietenia macrophylla;Árbol;11.4;3.5;A;A;NA;A;Nativo;ALTO
San Antonio;Parques;4887;479918.6193;1103882.98;Madero negro;Gliricidia sepium;Árbol;12.95;4;A;A;NA;A;Nativo;ALTO
San Antonio;Parques;4895;479935.955;1103891.396;Pochote;Pachira quinata;Árbol;19.88;6;A;A;NA;A;Nativo;ALTO
San Antonio;Parques;4902;479960.7944;1103890.382;Guácimo;Guazuma ulmifolia;Árbol;30;3.5;A;A;NA;NA;Nativo;ALTO
San Antonio;Parques;4903;479956.881;1103893.359;Guachipelín;Diphysa americana;Árbol;14;3;A;A;NA;NA;Nativo;ALTO
San Antonio;Parques;4908;479940.8854;1103915.44;Roble Sabana;Tabebuia rosea;Árbol;12.5;5;A;A;NA;NA;Nativo;ALTO
San Antonio;Parques;4909;479934.6099;1103917.381;Cordia gerascanthus;Cordia gerascanthus;Árbol;14;5;A;A;NA;NA;Nativo;ALTO
San Antonio;Parques;4911;479938.038;1103918.918;Cedro;Cedrela odorata;Árbol;15.8;4;A;A;NA;NA;Nativo;ALTO
San Antonio;Parques;4915;479930.6381;1103931.595;Uruca;Trichilia havanensis;Árbol;13;4;A;A;NA;NA;Nativo;ALTO
San Antonio;Parques;4917;479934.0781;1103936.997;Ceibo barrigón;Pseudobombax septenatum;Árbol;12.4;4;A;A;NA;NA;Nativo;ALTO
San Antonio;Parques;4922;479946.9697;1103950.209;Jacaranda;Jacaranda mimosifolia;Árbol;15.4;4;A;A;NA;NA;Exótico;ALTO
San Antonio;Parques;4923;479944.5528;1103933.367;Pirul;Schinus terebinthifolius;Árbol;14.23;5.2;A;A;NA;NA;Exótico;ALTO
San Antonio;Parques;4926;479943.3212;1103916.885;Guachipelín;Diphysa americana;Árbol;10.6;4;A;A;NA;NA;Nativo;ALTO
San Antonio;Parques;4928;479952.6368;1103912.792;Pirul;Schinus terebinthifolius;Árbol;11.4;4;A;A;NA;NA;Exótico;ALTO
San Antonio;Parques;4931;479956.5353;1103916.571;Madero negro;Gliricidia sepium;Árbol;14.2;5;A;A;NA;NA;Nativo;ALTO
San Antonio;Parques;4935;479975.1486;1103907.811;Madero negro;Gliricidia sepium;Árbol;20.05;3.6;A;A;NA;NA;Nativo;ALTO
San Antonio;Parques;4936;479969.2853;1103907.74;Madero negro;Gliricidia sepium;Árbol;12.9;3.5;A;A;NA;NA;Nativo;ALTO
San Antonio;Parques;4940;479964.4546;1103895.413;Guachipelín;Diphysa americana;Árbol;12;6.5;A;A;NA;NA;Nativo;ALTO
San Antonio;Parques;4949;480022.1776;1103920.123;Güitite;Acnistus arborescens;Árbol;12.75;5;A;A;NA;NA;Nativo;ALTO
San Antonio;Parques;4951;480017.5442;1103917.548;Guayaba;Psidium guajava;Árbol;37.5;5;A;A;NA;NA;Nativo;ALTO
San Antonio;Parques;4960;479984.5731;1103934.123;Roble Sabana;Tabebuia rosea;Árbol;12.1;3.5;A;A;NA;NA;Nativo;ALTO
San Antonio;Parques;4967;480004.3991;1103941.556;Ron-Ron;Astronium graveolens;Árbol;41.9;4;A;A;NA;NA;Nativo;ALTO
San Antonio;Parques;4973;480009.9928;1103953.799;Cerezo;Bunchosia sp.;Árbol;19.38;6;A;A;NA;NA;Nativo;ALTO
San Antonio;Parques;4974;480018.7199;1103948.26;Guachipelín;Diphysa americana;Árbol;27;6;A;A;NA;NA;Nativo;ALTO
San Antonio;Parques;4976;480026.6609;1103952.437;Lorito;Cojoba arborea;Árbol;28;6;A;A;NA;NA;Nativo;ALTO
San Antonio;Parques;5001;478849.7323;1103874.216;Casco venado;Bauhinia purpurea;Árbol;13;4;A;A;NA;NA;Exótico;ALTO
San Antonio;Parques;5959;478148.5561;1103075.126;Guachipelín;Diphysa americana;Árbol;12.73;5;A;A;NA;NA;Nativo;ALTO
San Antonio;Parques;5995;478119.216;1103078.482;Almendro;Terminalia catappa;Árbol;12.5;5;A;A;NA;NA;Exótico;ALTO
San Antonio;Parques;5996;478122.4126;1103077.803;Poró amarillo;Erythrina variegata;Árbol;9.999;5;A;B;NA;NA;Exótico;ALTO
La Asunción;Parques;6302;481803.781;1102414.326;Papaya;Carica papaya;Árbol;13.5;6;A;A;NA;NA;Nativo;ALTO
La Asunción;Parques;6664;481798.9213;1102509.469;Güitite;Acnistus arborescens;Árbol;12.15;5.3;A;A;NA;NA;Nativo;ALTO
La Asunción;Parques;6994;481186.9926;1103984.121;Cenízaro;Samanea saman;Árbol;17.8;5;A;A;NA;NA;Nativo;ALTO
La Asunción;Parques;7295;481427.4996;1103627.228;Almendro;Terminalia catappa;Árbol;24.2;6.5;A;A;NA;NA;Exótico;ALTO
La Asunción;Parques;8056;481870.3461;1102550.397;Aguacatillo;Persea caerulea;Árbol;11.2;4;A;A;NA;NA;Nativo;ALTO
La Asunción;Parques;8108;481784.4576;1102439.301;Guanábana;Annona muricata;Árbol;9.999;3;A;B;NA;NA;Nativo;ALTO
La Asunción;Parques;8109;481787.6276;1102437.797;Guanábana;Annona muricata;Árbol;9.999;3.2;A;B;2;NA;Nativo;ALTO
La Asunción;Parques;8276;481872.532;1102510.183;Güitite;Acnistus arborescens;Árbol;9.999;3.3;A;B;NA;NA;Nativo;ALTO
La Asunción;Parques;8282;481187.5166;1103966.999;Cenízaro;Samanea saman;Árbol;30.5;6.8;A;A;NA;NA;Nativo;ALTO
La Asunción;Parques;8535;482083.5156;1102420.156;Guayacán;Libidibia aff. paraguariensis;Árbol;9.999;3.2;A;B;2;NA;Exótico;ALTO
La Asunción;Parques;8569;481438.5916;1103627.527;Almendro;Terminalia catappa;Árbol;32;6.7;A;A;NA;NA;Exótico;ALTO
La Asunción;Parques;10411;481884.1987;1102464.253;Palmera múltiple;Chrysalidocarpus lutescens;Palma;9.999;6;A;B;NA;NA;Exótico;ALTO
San Antonio;Parques;12269;478694.3458;1102762.157;Papaya;Carica papaya;Árbol;13.5;5;A;A;NA;NA;Nativo;ALTO
La Asunción;Parques;12847;480974.0758;1103674.045;Guanacaste;Enterolobium cyclocarpum;Árbol;9.999;3;A;B;NA;NA;Nativo;ALTO
La Asunción;Parques;12853;480995.8517;1103684.713;Güitite;Acnistus arborescens;Árbol;9.999;3;A;B;NA;NA;Nativo;ALTO
La Asunción;Parques;12958;481003.4428;1103739.032;Madero negro;Gliricidia sepium;Árbol;9.999;3;A;B;NA;NA;Nativo;ALTO
La Asunción;Parques;13696;480977.1496;1103788.252;Madero negro;Gliricidia sepium;Árbol;9.999;3.5;A;B;NA;NA;Nativo;ALTO
La Asunción;Parques;13921;480955.3415;1103820.384;Cenízaro;Samanea saman;Árbol;9.999;3.5;A;B;NA;NA;Nativo;ALTO
